@,dirka,mal,2024
8,8,A. Espargaro,APRILIA RACING,2386.111
9,7,P. Acosta,RED BULL GASGAS TECH3,2386.464
10,6,M. Viales,APRILIA RACING,2388.066
11,5,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2392.570
12,4,J. Zarco,CASTROL HONDA LCR,2392.944
13,3,J. Mir,REPSOL HONDA TEAM,2393.306
14,2,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2394.063
15,1,M. Oliveira,TRACKHOUSE RACING,2395.586
16,0,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2398.962
17,0,A. Fernandez,RED BULL GASGAS TECH3,2398.975
18,0,F. Morbidelli,PRIMA PRAMAC RACING,2399.510
19,0,T. Nakagami,IDEMITSU HONDA LCR,2400.425
20,0,L. Marini,REPSOL HONDA TEAM,2417.291
21,0,J. Miller,RED BULL KTM FACTORY RACING,2417.630
